"","res_id","date_gen","date_checkin","nights","guests","ori_id","agency_id","mean_price_per_night","status"
"41310",10547438,2021-03-11,2021-04-02,1,2,11,"Agencia_2",29.99,"Cancelled"
"41311",10547538,2021-03-11,2021-03-19,1,2,4,"Agencia_2",0,"Confirmed"
"41312",10547689,2021-03-11,2021-03-19,1,2,11,"Agencia_2",29.99,"Cancelled"
"41313",10539087,2021-03-09,2021-03-27,1,2,11,"Agencia_2",29.99,"Cancelled"
"41314",10539158,2021-03-09,2021-03-09,1,2,11,"Agencia_2",41,"Cancelled"
"41315",10539191,2021-03-09,2021-03-27,1,2,11,"Agencia_2",29.99,"Cancelled"
"41316",10539255,2021-03-09,2021-03-20,1,2,11,"Agencia_2",29.99,"Cancelled"
"41317",10539296,2021-03-09,2021-03-12,2,2,11,"Agencia_2",29.995,"Cancelled"
"41318",10813661,2021-05-14,2021-06-11,1,2,11,"Agencia_2",29.99,"Cancelled"
"41319",11459005,2021-08-20,2021-08-20,2,2,11,"Agencia_2",91,"Cancelled"
"41320",10539626,2021-03-09,2021-03-15,1,2,11,"Agencia_2",29.99,"Cancelled"
"41321",10539568,2021-03-09,2021-03-13,1,2,11,"Agencia_2",29.99,"Cancelled"
"41322",10547991,2021-03-11,2021-03-12,1,2,11,"Agencia_2",29.99,"Cancelled"
"41323",10539955,2021-03-09,2021-03-20,1,2,11,"Agencia_2",29.99,"Cancelled"
"41324",11458400,2021-08-20,2021-08-20,2,2,11,"Agencia_2",91.005,"Cancelled"
"41325",10723551,2021-04-28,2021-05-15,1,3,11,"Agencia_2",41.41,"Cancelled"
"41326",10540115,2021-03-09,2021-05-31,3,2,11,"Agencia_2",41.0833333333333,"Cancelled"
"41327",10804814,2021-05-13,2021-05-14,2,2,11,"Agencia_2",51,"Cancelled"
"41328",10540450,2021-03-09,2021-03-19,1,2,11,"Agencia_2",29.99,"Cancelled"
"41329",10540451,2021-03-09,2021-03-19,1,2,11,"Agencia_2",29.99,"Cancelled"
"41330",10540512,2021-03-09,2021-03-12,1,3,11,"Agencia_2",53.11,"Cancelled"
"41331",10817400,2021-05-16,2021-05-16,1,2,11,"Agencia_2",27,"Cancelled"
"41332",10803680,2021-05-13,2021-05-14,2,2,11,"Agencia_2",51,"Cancelled"
